eval_horizon,mae,error,wis,type,frsct_date,method
3m,3.0170881535661356,3.0170881535661356,8.832446126636944,imd_incidence,2015-05-31,sarima
4m,2.554862993545216,2.554862993545216,8.455089225258195,imd_incidence,2015-05-31,sarima
5m,2.0694863985784875,2.0182943910938578,8.164237283215995,imd_incidence,2015-05-31,sarima
6m,1.9527450891793914,1.4537389022142297,8.303630296139684,imd_incidence,2015-05-31,sarima
1m,4.455973669608168,4.455973669608168,11.365066528844407,imd_incidence,2015-06-30,arima
2m,5.34731603566678,5.34731603566678,12.805235575697406,imd_incidence,2015-06-30,arima
3m,4.97776349101965,4.97776349101965,12.527630690652456,imd_incidence,2015-06-30,arima
4m,4.542987218696085,4.542987218696085,12.204398434524508,imd_incidence,2015-06-30,arima
5m,3.78665809461179,3.4821214553019466,11.823577447761844,imd_incidence,2015-06-30,arima
6m,4.361991479130723,4.1082109463725205,12.511588384496456,imd_incidence,2015-06-30,arima
1m,5.376666666666669,5.0,9.297439024390243,imd_incidence,2015-06-30,eakf_model1
2m,6.296666666666669,6.0,10.998536585365853,imd_incidence,2015-06-30,eakf_model1
3m,5.8822222222222225,5.333333333333333,10.213252032520325,imd_incidence,2015-06-30,eakf_model1
4m,5.395833333333334,5.0,9.566783536585366,imd_incidence,2015-06-30,eakf_model1
5m,4.336,4.0,8.669329268292685,imd_incidence,2015-06-30,eakf_model1
6m,4.952222222222222,4.666666666666667,9.527123983739836,imd_incidence,2015-06-30,eakf_model1
1m,5.1,5.0,9.048460365853655,imd_incidence,2015-06-30,eakf_model2
2m,5.675,5.5,9.876326219512194,imd_incidence,2015-06-30,eakf_model2
3m,5.416666666666667,5.0,9.49089430894309,imd_incidence,2015-06-30,eakf_model2
4m,5.059166666666666,4.75,8.964828506097561,imd_incidence,2015-06-30,eakf_model2
5m,4.096666666666666,3.8,8.099667682926828,imd_incidence,2015-06-30,eakf_model2
6m,4.946666666666666,4.666666666666667,9.42123475609756,imd_incidence,2015-06-30,eakf_model2
1m,4.42,4.0,7.904115853658536,imd_incidence,2015-06-30,eakf_model3
2m,5.141666666666666,5.0,9.05373475609756,imd_incidence,2015-06-30,eakf_model3
3m,4.825555555555554,4.666666666666667,8.488277439024392,imd_incidence,2015-06-30,eakf_model3
4m,4.299999999999999,4.25,7.773689024390244,imd_incidence,2015-06-30,eakf_model3
5m,3.825333333333332,3.0,7.271533536585366,imd_incidence,2015-06-30,eakf_model3
6m,3.997777777777777,3.3333333333333335,7.470358231707317,imd_incidence,2015-06-30,eakf_model3
1m,2.978097211093088,2.978097211093088,8.701706023914749,imd_incidence,2015-06-30,sarima
2m,2.7629416868978023,2.7629416868978023,8.169448068352278,imd_incidence,2015-06-30,sarima
3m,2.126372531177415,2.126372531177415,7.768313399322336,imd_incidence,2015-06-30,sarima
4m,1.7039231919081486,1.4856356048579737,7.513789121858443,imd_incidence,2015-06-30,sarima
5m,1.7086719492679947,0.8429750881449032,7.771696337664805,imd_incidence,2015-06-30,sarima
6m,2.4352315934414315,1.7138175425055218,8.655586506797137,imd_incidence,2015-06-30,sarima
1m,4.707609878007476,4.707609878007476,11.295658388979472,imd_incidence,2015-07-31,arima
2m,4.111678367829633,4.111678367829633,11.070794942305557,imd_incidence,2015-07-31,arima
3m,3.5797011977703517,3.5797011977703517,10.790616493955676,imd_incidence,2015-07-31,arima
4m,3.0558391839148165,2.3137126127407113,10.554505682283326,imd_incidence,2015-07-31,arima
5m,3.7478207186622114,3.154119461722927,11.35388567871943,imd_incidence,2015-07-31,arima
6m,3.2091417418271413,2.7143906943777374,11.101990035319199,imd_incidence,2015-07-31,arima
1m,6.933333333333334,7.0,11.955884146341461,imd_incidence,2015-07-31,eakf_model1
2m,5.885,6.0,10.190884146341462,imd_incidence,2015-07-31,eakf_model1
3m,5.295555555555556,5.333333333333333,9.280894308943088,imd_incidence,2015-07-31,eakf_model1
4m,4.014166666666666,4.0,8.159885670731708,imd_incidence,2015-07-31,eakf_model1
5m,4.824666666666666,4.7,9.330243902439022,imd_incidence,2015-07-31,eakf_model1
6m,4.371666666666666,4.25,8.682063008130081,imd_incidence,2015-07-31,eakf_model1
1m,5.65,5.0,9.754207317073172,imd_incidence,2015-07-31,eakf_model2
2m,4.7700000000000005,4.5,8.429237804878051,imd_incidence,2015-07-31,eakf_model2
3m,4.265555555555555,4.0,7.646600609756098,imd_incidence,2015-07-31,eakf_model2
4m,3.2600000000000002,3.0,6.915251524390244,imd_incidence,2015-07-31,eakf_model2
